grupo,codigo,materia,semestre,cupo,inscritos,disponibles
7CX1,C703,"BIG DATA|BIG DATA",7,20,1,19
7CX1,C707,"INTERNET DE LAS COSAS|INTERNET OF THINGS",7,20,1,19
7CX1,C709,"CRIPTOGRAFIA|SELECTED TOPICS IN CRYPTOGRAPHY",7,20,1,19
7CX1,C711,"ALGORITMOS BIOINSPIRADOS|BIOINFORMATICS",7,20,1,19
8CM3,C805,"DESARROLLO DE HABILIDADES SOCIALES PARA LA ALTA DIRECCION",8,36,17,19
1CV5,C102,"MATEMATICAS DISCRETAS",1,36,18,18
2CV1,C203,"CALCULO APLICADO",2,36,18,18
2CV5,C202,"ALGEBRA LINEAL",2,36,18,18
3CM5,C303,"ECUACIONES DIFERENCIALES",3,36,18,18
4CV2,C407,"SISTEMAS OPERATIVOS",4,36,18,18
7CM2,C706,"INSTRUMENTAL VIRTUAL|VIRTUAL INSTRUMENTIATION APPLICATIONS",7,36,18,18
7CM2,C718,"ADMINISTRACION DE SERVICIOS EN RED",7,30,12,18
7CX1,C708,"GOBIERNO DE TI|IT GOVERNANCE",7,20,2,18
7CX1,C713,"VISION POR COMPUTADORA|IMAGE ANALYSIS",7,20,2,18
8CV3,C801,"TRABAJO TERMINAL II",8,36,18,18
3CV2,C305,"CIRCUITOS ELECTRICOS",3,36,19,17
3CV4,C304,"FUNDAMENTOS DE DISEÑO DIGITAL",3,36,19,17
3CV4,C305,"CIRCUITOS ELECTRICOS",3,36,19,17
6CM2,C601,"INTELIGENCIA ARTIFICIAL",6,36,19,17
2CV2,C205,"INGENIERIA ETICA Y SOCIEDAD",2,36,20,16
2CV3,C206,"FUNDAMENTOS ECONOMICOS",2,36,20,16
3CM5,C306,"BASES DE DATOS",3,36,20,16
7CM3,C713,"VISION POR COMPUTADORA|IMAGE ANALYSIS",7,30,14,16
7CV5,C705,"MINERIA DE DATOS|DATA MINING",7,36,20,16
7CX1,C710,"PROC. DE LENG|NATURAL LANGUAGE PROCESSING",7,20,4,16
8CM5,C801,"TRABAJO TERMINAL II",8,36,20,16
1CV1,C102,"MATEMATICAS DISCRETAS",1,36,21,15
4CM5,C405,"ELECTRONICA ANALOGICA",4,36,21,15
5CV1,C506,"FORMULACION Y EVALUACION DE PROYECTOS INFORMATICOS",5,36,21,15
6CM4,C611,"PROC. DE LENG. NAT|MACHINE LEARNING",6,36,21,15
7CM4,C714,"SISTEMAS COMPLEJOS|COMPLEX SYSTEMS",7,36,21,15
7CM4,C715,"GES. DE EMP. DE ALTA TEC|ECONOMIC ENGINEERING",7,35,20,15
8CV4,C801,"TRABAJO TERMINAL II",8,34,19,15
1CM10,C103,"CALCULO",1,36,22,14
4CM1,C402,"PROBABILIDAD Y ESTADISTICA",4,36,22,14
4CM2,C405,"ELECTRONICA ANALOGICA",4,36,22,14
5CM1,C504,"INSTRUMENTACION Y CONTROL",5,30,16,14
7CM3,C717,"DESARROLLO DE APLICACIONES MOVILES NATIVAS",7,36,22,14
7CM4,C717,"DESARROLLO DE APLICACIONES MOVILES NATIVAS",7,36,22,14
7CX1,C716,"TOPICOS SEL. DE COM|COMPUTING SELECTED TOPICS II",7,20,6,14
1CX1,C103,"CALCULO",1,30,17,13
4CV3,C402,"PROBABILIDAD Y ESTADISTICA",4,36,23,13
5CM5,C501,"COMPILADORES",5,36,23,13
6CV3,C619,"APLICACIONES PARA COMUNICACIONES EN RED",6,36,23,13
8CM2,C805,"DESARROLLO DE HABILIDADES SOCIALES PARA LA ALTA DIRECCION",8,36,23,13
2CM6,C204,"MECANICA Y ELECTROMAGNETISMO",2,36,24,12
3CM3,C302,"PARADIGMAS DE PROGRAMACION",3,36,24,12
3CV4,C306,"BASES DE DATOS",3,36,24,12
4CV4,C405,"ELECTRONICA ANALOGICA",4,36,25,11
5CV3,C506,"FORMULACION Y EVALUACION DE PROYECTOS INFORMATICOS",5,36,25,11
5CV4,C501,"COMPILADORES",5,36,25,11
8CM3,C801,"TRABAJO TERMINAL II",8,36,25,11
1CV3,C103,"CALCULO",1,36,26,10
2CX1,C201,"ALGORITMOS Y ESTRUCTURA DE DATOS",2,20,10,10
3CV3,C305,"CIRCUITOS ELECTRICOS",3,36,26,10
7CM5,C705,"MINERIA DE DATOS|DATA MINING",7,35,25,10
7CV4,C701,"TRABAJO TERMINAL I",7,36,26,10
8CM3,C802,"LIDERAZGO PERSONAL",8,36,26,10
3CV1,C303,"ECUACIONES DIFERENCIALES",3,36,27,9
3CV3,C306,"BASES DE DATOS",3,36,27,9
7CM2,C702,"SISTEMAS DISTRIBUIDOS",7,36,27,9
7CV2,C701,"TRABAJO TERMINAL I",7,36,27,9
8CM4,C802,"LIDERAZGO PERSONAL",8,33,24,9
1CV1,C103,"CALCULO",1,36,28,8
2CM1,C204,"MECANICA Y ELECTROMAGNETISMO",2,36,28,8
3CV1,C305,"CIRCUITOS ELECTRICOS",3,36,28,8
4CV2,C401,"TEORIA DE LA COMPUTACION",4,36,28,8
4CV3,C403,"MATEMATICAS AVANZADAS PARA LA INGENIERIA",4,36,28,8
4CV4,C404,"DISEÑO DE SISTEMAS DIGITALES",4,36,28,8
5CV2,C503,"ARQUITECTURA DE COMPUTADORAS",5,35,27,8
6CV1,C619,"APLICACIONES PARA COMUNICACIONES EN RED",6,34,26,8
7CM1,C709,"CRIPTOGRAFIA|SELECTED TOPICS IN CRYPTOGRAPHY",7,36,28,8
8CM2,C803,"GESTION EMPRESARIAL",8,33,25,8
1CV4,C103,"CALCULO",1,36,29,7
2CM2,C201,"ALGORITMOS Y ESTRUCTURA DE DATOS",2,36,29,7
2CV2,C206,"FUNDAMENTOS ECONOMICOS",2,36,29,7
3CM4,C303,"ECUACIONES DIFERENCIALES",3,36,29,7
3CV4,C307,"FINANZAS EMPRESARIALES",3,36,29,7
4CM3,C402,"PROBABILIDAD Y ESTADISTICA",4,36,29,7
5CV2,C502,"PROCESAMIENTO DIGITAL DE SEÑALES",5,34,27,7
7CM1,C707,"INTERNET DE LAS COSAS|INTERNET OF THINGS",7,36,29,7
2CV1,C204,"MECANICA Y ELECTROMAGNETISMO",2,36,30,6
2CV2,C201,"ALGORITMOS Y ESTRUCTURA DE DATOS",2,36,30,6
3CM3,C301,"ANALISIS Y DISEÑO DE ALGORITMOS",3,36,30,6
3CM5,C307,"FINANZAS EMPRESARIALES",3,36,30,6
5CM2,C507,"REDES DE COMPUTADORAS",5,36,30,6
1CM7,C101,"FUNDAMENTOS DE PROGRAMACION",1,36,31,5
1CV3,C105,"COMUNICACION ORAL Y ESCRITA",1,36,31,5
2CM3,C201,"ALGORITMOS Y ESTRUCTURA DE DATOS",2,36,31,5
3CV2,C307,"FINANZAS EMPRESARIALES",3,36,31,5
4CM1,C404,"DISEÑO DE SISTEMAS DIGITALES",4,36,31,5
4CV2,C402,"PROBABILIDAD Y ESTADISTICA",4,36,31,5
5CM5,C503,"ARQUITECTURA DE COMPUTADORAS",5,36,31,5
6CM2,C603,"METODOS CUANTITATIVOS PARA LA TOMA DE DECISIONES",6,36,31,5
7CM2,C701,"TRABAJO TERMINAL I",7,36,31,5
8CV2,C801,"TRABAJO TERMINAL II",8,36,31,5
1CM6,C105,"COMUNICACION ORAL Y ESCRITA",1,36,32,4
2CV4,C203,"CALCULO APLICADO",2,36,32,4
3CM2,C302,"PARADIGMAS DE PROGRAMACION",3,36,32,4
3CV1,C301,"ANALISIS Y DISEÑO DE ALGORITMOS",3,36,32,4
4CM4,C401,"TEORIA DE LA COMPUTACION",4,36,32,4
4CV3,C407,"SISTEMAS OPERATIVOS",4,36,32,4
5CV2,C504,"INSTRUMENTACION Y CONTROL",5,36,32,4
6CV2,C619,"APLICACIONES PARA COMUNICACIONES EN RED",6,36,32,4
7CM3,C701,"TRABAJO TERMINAL I",7,36,32,4
8CV2,C803,"GESTION EMPRESARIAL",8,36,32,4
1CM2,C103,"CALCULO",1,36,33,3
1CM7,C103,"CALCULO",1,36,33,3
1CV2,C105,"COMUNICACION ORAL Y ESCRITA",1,36,33,3
1CV3,C101,"FUNDAMENTOS DE PROGRAMACION",1,36,33,3
1CV4,C104,"ANALISIS VECTORIAL",1,36,33,3
2CM3,C204,"MECANICA Y ELECTROMAGNETISMO",2,36,33,3
2CM5,C204,"MECANICA Y ELECTROMAGNETISMO",2,36,33,3
5CM1,C503,"ARQUITECTURA DE COMPUTADORAS",5,36,33,3
5CV3,C503,"ARQUITECTURA DE COMPUTADORAS",5,36,33,3
6CM4,C618,"INGENIERIA DE SOFTWARE",6,36,33,3
7CM3,C704,"DES. DE APLIC|WEB CLIENT AND BACKEND DEVELOPMEN FRAMEWORKS",7,36,33,3
7CM4,C702,"SISTEMAS DISTRIBUIDOS",7,36,33,3
8CM3,C803,"GESTION EMPRESARIAL",8,36,33,3
8CM4,C801,"TRABAJO TERMINAL II",8,36,33,3
8CV1,C805,"DESARROLLO DE HABILIDADES SOCIALES PARA LA ALTA DIRECCION",8,36,33,3
8CV2,C805,"DESARROLLO DE HABILIDADES SOCIALES PARA LA ALTA DIRECCION",8,36,33,3
1CM1,C101,"FUNDAMENTOS DE PROGRAMACION",1,36,34,2
1CM1,C105,"COMUNICACION ORAL Y ESCRITA",1,36,34,2
1CM2,C105,"COMUNICACION ORAL Y ESCRITA",1,36,34,2
1CM3,C101,"FUNDAMENTOS DE PROGRAMACION",1,36,34,2
1CM3,C103,"CALCULO",1,36,34,2
1CM3,C105,"COMUNICACION ORAL Y ESCRITA",1,36,34,2
1CM4,C105,"COMUNICACION ORAL Y ESCRITA",1,36,34,2
1CM5,C103,"CALCULO",1,36,34,2
1CM5,C105,"COMUNICACION ORAL Y ESCRITA",1,36,34,2
1CM6,C103,"CALCULO",1,36,34,2
1CM6,C104,"ANALISIS VECTORIAL",1,36,34,2
1CV5,C101,"FUNDAMENTOS DE PROGRAMACION",1,36,34,2
1CV5,C103,"CALCULO",1,36,34,2
1CV5,C104,"ANALISIS VECTORIAL",1,36,34,2
1CV6,C102,"MATEMATICAS DISCRETAS",1,36,34,2
2CV2,C204,"MECANICA Y ELECTROMAGNETISMO",2,36,34,2
3CM3,C307,"FINANZAS EMPRESARIALES",3,36,34,2
3CM4,C301,"ANALISIS Y DISEÑO DE ALGORITMOS",3,36,34,2
3CV2,C301,"ANALISIS Y DISEÑO DE ALGORITMOS",3,36,34,2
3CV4,C303,"ECUACIONES DIFERENCIALES",3,36,34,2
4CM3,C404,"DISEÑO DE SISTEMAS DIGITALES",4,36,34,2
4CM5,C406,"TECNOLOGIAS PARA DESARROLLO DE APLICACIONES WEB",4,36,34,2
4CV1,C404,"DISEÑO DE SISTEMAS DIGITALES",4,36,34,2
5CM1,C505,"ANALISIS Y DISEÑO DE SISTEMAS",5,36,34,2
5CV2,C505,"ANALISIS Y DISEÑO DE SISTEMAS",5,36,34,2
6CM1,C601,"INTELIGENCIA ARTIFICIAL",6,35,33,2
6CM1,C603,"METODOS CUANTITATIVOS PARA LA TOMA DE DECISIONES",6,36,34,2
7CM1,C717,"DESARROLLO DE APLICACIONES MOVILES NATIVAS",7,36,34,2
7CM1,C718,"ADMINISTRACION DE SERVICIOS EN RED",7,36,34,2
7CV3,C717,"DESARROLLO DE APLICACIONES MOVILES NATIVAS",7,36,34,2
7CV3,C718,"ADMINISTRACION DE SERVICIOS EN RED",7,36,34,2
7CV4,C702,"SISTEMAS DISTRIBUIDOS",7,36,34,2
7CV4,C703,"BIG DATA|BIG DATA",7,36,34,2
8CM2,C801,"TRABAJO TERMINAL II",8,36,34,2
8CM4,C803,"GESTION EMPRESARIAL",8,34,32,2
8CV1,C801,"TRABAJO TERMINAL II",8,36,34,2
8CV2,C802,"LIDERAZGO PERSONAL",8,34,32,2
1CM1,C103,"CALCULO",1,36,35,1
1CM2,C101,"FUNDAMENTOS DE PROGRAMACION",1,36,35,1
1CM3,C104,"ANALISIS VECTORIAL",1,36,35,1
1CM5,C104,"ANALISIS VECTORIAL",1,36,35,1
1CM6,C101,"FUNDAMENTOS DE PROGRAMACION",1,36,35,1
1CM6,C102,"MATEMATICAS DISCRETAS",1,36,35,1
1CM7,C102,"MATEMATICAS DISCRETAS",1,36,35,1
1CM7,C104,"ANALISIS VECTORIAL",1,36,35,1
1CV1,C101,"FUNDAMENTOS DE PROGRAMACION",1,36,35,1
1CV3,C102,"MATEMATICAS DISCRETAS",1,36,35,1
1CV4,C102,"MATEMATICAS DISCRETAS",1,36,35,1
1CV4,C105,"COMUNICACION ORAL Y ESCRITA",1,36,35,1
1CV6,C103,"CALCULO",1,36,35,1
2CM2,C203,"CALCULO APLICADO",2,36,35,1
2CM2,C204,"MECANICA Y ELECTROMAGNETISMO",2,36,35,1
2CM3,C205,"INGENIERIA ETICA Y SOCIEDAD",2,36,35,1
2CM4,C202,"ALGEBRA LINEAL",2,36,35,1
2CM5,C203,"CALCULO APLICADO",2,36,35,1
2CM5,C205,"INGENIERIA ETICA Y SOCIEDAD",2,36,35,1
2CM6,C205,"INGENIERIA ETICA Y SOCIEDAD",2,36,35,1
2CM6,C206,"FUNDAMENTOS ECONOMICOS",2,34,33,1
2CV1,C206,"FUNDAMENTOS ECONOMICOS",2,36,35,1
2CV2,C202,"ALGEBRA LINEAL",2,37,36,1
2CV3,C202,"ALGEBRA LINEAL",2,36,35,1
2CV3,C205,"INGENIERIA ETICA Y SOCIEDAD",2,36,35,1
2CV4,C206,"FUNDAMENTOS ECONOMICOS",2,36,35,1
3CM1,C301,"ANALISIS Y DISEÑO DE ALGORITMOS",3,36,35,1
3CM2,C301,"ANALISIS Y DISEÑO DE ALGORITMOS",3,34,33,1
3CM2,C304,"FUNDAMENTOS DE DISEÑO DIGITAL",3,36,35,1
3CV2,C302,"PARADIGMAS DE PROGRAMACION",3,36,35,1
3CV3,C304,"FUNDAMENTOS DE DISEÑO DIGITAL",3,36,35,1
3CV4,C301,"ANALISIS Y DISEÑO DE ALGORITMOS",3,36,35,1
4CM1,C403,"MATEMATICAS AVANZADAS PARA LA INGENIERIA",4,36,35,1
4CM3,C405,"ELECTRONICA ANALOGICA",4,36,35,1
4CM3,C407,"SISTEMAS OPERATIVOS",4,36,35,1
