grupo,codigo,materia,semestre,cupo,inscritos,disponibles
2CV5,C205,"INGENIERIA ETICA Y SOCIEDAD",2,36,36,0
2CV5,C206,"FUNDAMENTOS ECONOMICOS",2,36,36,0
2CV6,C202,"ALGEBRA LINEAL",2,36,36,0
3CM1,C302,"PARADIGMAS DE PROGRAMACION",3,36,36,0
3CM1,C305,"CIRCUITOS ELECTRICOS",3,36,36,0
3CM2,C305,"CIRCUITOS ELECTRICOS",3,36,36,0
3CM2,C307,"FINANZAS EMPRESARIALES",3,36,36,0
3CM3,C303,"ECUACIONES DIFERENCIALES",3,36,36,0
3CM4,C304,"FUNDAMENTOS DE DISEÑO DIGITAL",3,36,36,0
3CM4,C305,"CIRCUITOS ELECTRICOS",3,36,36,0
3CM4,C307,"FINANZAS EMPRESARIALES",3,36,36,0
3CM5,C302,"PARADIGMAS DE PROGRAMACION",3,36,36,0
3CM5,C304,"FUNDAMENTOS DE DISEÑO DIGITAL",3,36,36,0
3CM5,C305,"CIRCUITOS ELECTRICOS",3,36,36,0
3CV2,C306,"BASES DE DATOS",3,36,36,0
3CV3,C302,"PARADIGMAS DE PROGRAMACION",3,36,36,0
3CV3,C303,"ECUACIONES DIFERENCIALES",3,36,36,0
3CV3,C307,"FINANZAS EMPRESARIALES",3,36,36,0
3CV5,C302,"PARADIGMAS DE PROGRAMACION",3,36,36,0
4CM1,C405,"ELECTRONICA ANALOGICA",4,36,36,0
4CM1,C406,"TECNOLOGIAS PARA DESARROLLO DE APLICACIONES WEB",4,36,36,0
4CM1,C407,"SISTEMAS OPERATIVOS",4,36,36,0
4CM2,C404,"DISEÑO DE SISTEMAS DIGITALES",4,36,36,0
4CM3,C406,"TECNOLOGIAS PARA DESARROLLO DE APLICACIONES WEB",4,36,36,0
4CM4,C403,"MATEMATICAS AVANZADAS PARA LA INGENIERIA",4,36,36,0
4CM4,C404,"DISEÑO DE SISTEMAS DIGITALES",4,34,34,0
4CM4,C405,"ELECTRONICA ANALOGICA",4,36,36,0
4CM4,C407,"SISTEMAS OPERATIVOS",4,35,35,0
4CM5,C403,"MATEMATICAS AVANZADAS PARA LA INGENIERIA",4,36,36,0
4CV3,C401,"TEORIA DE LA COMPUTACION",4,36,36,0
4CV4,C406,"TECNOLOGIAS PARA DESARROLLO DE APLICACIONES WEB",4,36,36,0
5CM1,C501,"COMPILADORES",5,36,36,0
5CM1,C506,"FORMULACION Y EVALUACION DE PROYECTOS INFORMATICOS",5,36,36,0
5CM3,C505,"ANALISIS Y DISEÑO DE SISTEMAS",5,36,36,0
5CM4,C503,"ARQUITECTURA DE COMPUTADORAS",5,36,36,0
5CM4,C504,"INSTRUMENTACION Y CONTROL",5,36,36,0
5CM4,C507,"REDES DE COMPUTADORAS",5,36,36,0
5CV1,C504,"INSTRUMENTACION Y CONTROL",5,36,36,0
5CV3,C507,"REDES DE COMPUTADORAS",5,36,36,0
5CV4,C505,"ANALISIS Y DISEÑO DE SISTEMAS",5,36,36,0
5CV4,C506,"FORMULACION Y EVALUACION DE PROYECTOS INFORMATICOS",5,36,36,0
5CV4,C507,"REDES DE COMPUTADORAS",5,36,36,0
6CM2,C605,"DES. DE APLIC|SOFTWARE QUALLITY ASSURANCE AND DESING PATTERNS",6,36,36,0
6CM2,C619,"APLICACIONES PARA COMUNICACIONES EN RED",6,36,36,0
6CM3,C601,"INTELIGENCIA ARTIFICIAL",6,36,36,0
6CM3,C602,"SISTEMAS EN CHIP",6,34,34,0
6CM3,C619,"APLICACIONES PARA COMUNICACIONES EN RED",6,36,36,0
6CM4,C601,"INTELIGENCIA ARTIFICIAL",6,36,36,0
6CM6,C609,"GOBIERNO DE TI|COMPUTER SECURITY",6,1,1,0
6CV3,C601,"INTELIGENCIA ARTIFICIAL",6,36,36,0
6CV3,C602,"SISTEMAS EN CHIP",6,36,36,0
6CV3,C609,"GOBIERNO DE TI|COMPUTER SECURITY",6,35,35,0
6CV6,C612,"ALGORITMOS BIOINSPIRADOS|GENETIC ALGORITHMS",6,1,1,0
7CM2,C710,"PROC. DE LENG|NATURAL LANGUAGE PROCESSING",7,36,36,0
7CM2,C717,"DESARROLLO DE APLICACIONES MOVILES NATIVAS",7,36,36,0
7CM4,C718,"ADMINISTRACION DE SERVICIOS EN RED",7,34,34,0
7CM5,C718,"ADMINISTRACION DE SERVICIOS EN RED",7,34,34,0
7CV1,C701,"TRABAJO TERMINAL I",7,36,36,0
7CV2,C702,"SISTEMAS DISTRIBUIDOS",7,36,36,0
7CV2,C712,"COMPUTACION GRAFICA|VIRTUAL AND AUGMENTED REALITY",7,36,36,0
7CV2,C717,"DESARROLLO DE APLICACIONES MOVILES NATIVAS",7,36,36,0
7CV2,C718,"ADMINISTRACION DE SERVICIOS EN RED",7,34,34,0
7CV3,C701,"TRABAJO TERMINAL I",7,36,36,0
7CV4,C708,"GOBIERNO DE TI|IT GOVERNANCE",7,36,36,0
7CV5,C715,"GES. DE EMP. DE ALTA TEC|ECONOMIC ENGINEERING",7,36,36,0
7CV6,C710,"PROC. DE LENG|NATURAL LANGUAGE PROCESSING",7,2,2,0
7CV7,C716,"TOPICOS SEL. DE COM|COMPUTING SELECTED TOPICS II",7,1,1,0
8CM1,C803,"GESTION EMPRESARIAL",8,36,36,0
8CV1,C802,"LIDERAZGO PERSONAL",8,36,36,0
8CV3,C802,"LIDERAZGO PERSONAL",8,34,34,0
8CV3,C805,"DESARROLLO DE HABILIDADES SOCIALES PARA LA ALTA DIRECCION",8,36,36,0
1CM9,C103,"CALCULO",1,36,37,-1
1CV4,C101,"FUNDAMENTOS DE PROGRAMACION",1,36,37,-1
2CM1,C201,"ALGORITMOS Y ESTRUCTURA DE DATOS",2,36,37,-1
2CM1,C202,"ALGEBRA LINEAL",2,36,37,-1
2CM4,C203,"CALCULO APLICADO",2,36,37,-1
2CM4,C204,"MECANICA Y ELECTROMAGNETISMO",2,36,37,-1
2CM6,C201,"ALGORITMOS Y ESTRUCTURA DE DATOS",2,36,37,-1
2CM6,C203,"CALCULO APLICADO",2,36,37,-1
2CV4,C202,"ALGEBRA LINEAL",2,36,37,-1
3CM1,C304,"FUNDAMENTOS DE DISEÑO DIGITAL",3,36,37,-1
